,Dimension 1,Dimension 2,Cluster
158,-18.303862,-8.6858015,1
159,-2.4850485,-2.3507125,1
160,8.39928,-2.0177538,0
161,-10.368399,3.2297525,1
162,8.304623,9.817932,0
163,-1.6701505,-5.5942,1
164,-4.7520304,4.8658137,0
165,-2.7828412,-0.07853967,0
166,7.1283097,4.2432437,0
167,-3.510198,15.7401905,0
168,5.570993,-4.195525,0
169,9.033066,8.512266,0
170,-11.770813,-5.054143,1
171,-8.684663,-4.051431,1
172,-5.348718,-10.767651,1
173,-7.9221263,-14.076237,1
174,-19.555273,-6.715478,1
175,-11.427914,-5.841763,1
176,-5.781842,2.1143022,1
177,-17.15537,-3.253198,1
178,15.197607,3.0032916,0
179,-5.059838,4.9172134,0
180,4.072351,-3.2861695,0
181,-11.245822,-11.801771,1
182,3.5274515,5.421154,0
183,-14.813153,-15.831013,1
184,0.038625374,12.904955,0
185,-4.3289323,8.83914,0
186,10.613353,-1.377502,0
187,-23.863476,-6.2905493,1
188,1.577793,4.4509077,0
189,-20.156513,-8.606576,1
190,8.489488,4.9235964,0
191,-15.844886,-9.387106,1
192,-6.608365,-3.2633533,1
193,-23.557575,-9.070988,1
194,-2.6882095,-6.6496334,1
195,-11.066337,1.6244314,1
196,-1.1201614,6.022174,0
197,7.5219774,16.064053,0
198,12.594142,10.083522,0
199,0.26255825,6.5625305,0
200,4.9165974,13.083594,0
201,-4.9661508,-11.731785,1
202,12.070533,-4.9665036,0
203,-1.1328548,11.9526615,0
204,7.1017203,-2.3632464,0
205,-12.156892,-10.338611,1
206,-16.466358,-7.4318867,1
207,-7.9273086,-4.073403,1
208,9.263658,2.0585718,0
209,-5.486398,-10.157085,1
210,11.170641,7.815069,0
211,11.277737,-9.643313,0
212,8.68977,-9.213524,0
213,-18.765146,-14.792408,1
214,6.0083976,5.40557,0
215,3.0275881,-5.418152,0
216,12.671708,8.716774,0
217,7.4807067,16.0283,0
218,-23.210236,-9.213761,1
219,16.257242,1.1124005,0
220,4.642606,14.68443,0
221,3.8704865,13.586645,0
222,11.702593,8.210743,0
223,-12.776491,-7.4598927,1
224,-10.024476,5.4632154,1
225,13.509303,7.545722,0
226,6.7713504,5.881097,0
227,-2.255916,10.640607,0
228,-10.661392,-0.5773297,1
229,-10.033569,0.6816703,1
230,9.918496,14.828786,0
231,-13.470141,-15.646503,1
232,-6.5534096,5.5738854,1
233,-9.672143,8.242609,1
234,-3.7379594,10.909146,0
235,-15.926925,-8.200248,1
236,-10.180219,-3.9853408,1
237,5.4801855,-3.1911354,0
238,9.990753,12.344516,0
239,11.431936,2.616035,0
240,11.401116,4.3820286,0
241,12.43585,11.425388,0
242,5.5444927,11.2047615,0
243,-21.702057,-10.389928,1
244,4.178825,8.302059,0
245,-12.779532,-2.1029458,1
246,-1.0550072,-1.4119095,0
247,-10.751338,-1.1746744,1
248,-4.533156,1.5093465,1
249,8.317403,-5.3132434,0
250,-0.7551615,-9.129741,1
251,-14.651926,-3.0412965,1
252,-11.461094,-6.5445886,1
253,3.561752,13.093929,0
254,12.5388,0.09082588,0
255,10.166302,9.688541,0
256,-9.179833,5.771533,1
257,-2.962787,-6.754442,1
258,0.8471159,6.379503,0
259,5.8871646,-0.36486238,0
260,9.311964,10.629729,0
261,-3.4233882,15.628643,0
262,-2.7544527,11.60518,0
263,9.497699,4.9788585,0
264,-17.858276,-3.4098175,1
265,-9.567165,-9.585431,1
266,-5.254084,-5.2584233,1
267,-21.55849,-11.97643,1
268,7.3791203,1.5950226,0
269,9.345753,6.1277037,0
270,-8.648471,-1.9969827,1
271,-16.662428,2.0147898,1
272,-11.649287,-9.080392,1
273,-3.0371535,-8.049234,1
274,-4.86534,7.477753,0
275,-0.4253937,4.087966,0
276,-0.2106839,10.429884,0
277,10.260269,10.654081,0
278,2.099034,5.718667,0
279,-3.961748,-8.435843,1
280,-14.137936,-8.674841,1
281,9.598616,3.9992058,0
282,-16.914734,-4.9676332,1
283,12.453044,5.7053485,0
284,-2.0340736,0.9086615,0
285,-16.796446,-10.13771,1
286,-18.607979,-14.632327,1
287,2.387924,-0.66759384,0
288,4.919289,-0.82920086,0
289,9.410062,0.8645456,0
290,-0.7257039,3.2733755,0
291,2.8186984,16.741823,0
292,0.36865628,-10.413535,1
293,-19.10762,-4.322313,1
294,-4.2037377,-8.640132,1
295,12.46947,5.946108,0
296,-21.748531,-5.1419272,1
297,-6.9833055,-8.847197,1
298,3.1037703,-9.168827,0
299,-19.585506,-5.7232313,1
300,-14.902952,-1.5762097,1
301,9.328873,13.838171,0
302,10.376817,6.104515,0
